"ID","S1","S2","S3","S4","S5","S6","S7","S9","S10","S11","S12","S13","S15","S16","S17","S18","S19","S20","S22","S23","S24","S25","S26","S27","S28","S30","S34","S35","S36","S37","S61","S62","S63","S65","S85","S86","S87","S88","S89","S112","S113","S114","S161","S162","S164","S165","S166","S167","S168","S169","S170","S171","S172","S173","S174","S175","S176","S177","S179","S182","S187","S188","S191","S194","S196","S197","S198","S201","S202","S203","S204","S205","S206","S207","S208","S209","S210","S213","S214","S215","S216","S217","S218","S219","S220","S221","S222","S223","S224","S225"
"OTU_11016",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_13742",1,0,0,0,0,1,0,0,0,0,0,0,13,1,6,8,7,4,0,0,2,0,4,2,10,1,0,0,0,3,5,0,0,3,4,1,0,3,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,2,5,4,2,2,1,4,1,2,5,5,2,15,1,15,3,0,1,0,1,0,1,2,3,1,1,0
"OTU_4502",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,25,1,0,0,0,0,0,0,0,0,3,0,2,0,0,2,0,0,0,1,0,0,0,0,0,2,2,0,0,0,1
"OTU_5248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_408",4,1,2,2,0,4,2,3,1,0,0,3,0,3,0,2,1,2,5,1,0,1,0,0,2,7,3,0,1,1,1,6,37,18,10,9,6,6,0,10,3,12,3,0,6,3,3,1,3,9,1,1,0,1,0,0,1,3,14,16,6,7,1,2,4,6,0,5,5,33,10,30,25,31,8,41,17,1,7,3,2,5,9,11,2,28,7,14,13,7
"OTU_4474",0,0,3,0,0,1,2,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,2,2,0,0,1,2,1,0
"OTU_4716",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"OTU_5004",0,0,1,0,2,1,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0
"OTU_6426",0,2,2,0,0,1,0,4,0,0,2,9,4,2,6,1,2,1,0,3,5,8,0,7,1,1,2,1,0,6,8,21,52,12,4,8,6,2,1,4,5,2,13,13,23,62,22,66,68,6,1,15,5,9,3,1,21,28,57,36,17,11,21,0,3,0,1,2,3,17,11,0,5,3,1,2,2,0,7,3,0,0,2,0,0,3,2,1,3,5
"OTU_3449",1,0,1,0,0,1,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
"OTU_10128",1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,0,0,1,2
"OTU_75",3,2,1,3,3,2,0,5,0,2,3,2,3,1,4,3,7,10,1,1,0,3,1,4,4,1,4,5,5,4,2,1,0,2,6,1,0,2,0,1,3,2,9,4,1,7,1,0,4,0,5,1,0,1,0,0,0,4,128,111,11,31,16,0,3,1,0,17,37,147,19,3,2,2,0,3,2,0,1,0,1,3,5,0,5,1,4,3,2,1
"OTU_2069",1,1,1,2,0,3,0,0,1,0,0,4,4,0,2,1,0,2,2,1,3,2,0,1,0,0,0,0,2,4,0,5,24,3,0,3,0,0,2,2,1,2,0,1,1,3,2,0,19,1,0,4,0,2,0,0,0,0,3,3,3,1,2,3,3,3,3,0,4,1,5,4,6,0,0,2,2,0,4,0,0,0,1,7,16,8,5,2,5,0
"OTU_356",1,3,2,3,2,0,0,1,2,2,0,3,2,1,2,1,4,1,0,1,2,0,1,3,4,1,2,2,1,2,5,10,16,41,0,6,3,4,0,5,1,0,0,1,8,7,5,8,0,1,4,4,0,1,0,0,2,8,1,1,1,2,3,0,2,16,6,23,69,33,6,3,1,1,11,3,0,8,1,11,2,2,18,0,11,6,1,3,9,4
"OTU_825",0,0,0,0,0,0,0,0,2,0,0,0,1,5,2,13,0,5,1,1,0,0,6,1,2,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,6,0,2,3,0,5,3,0,0,4,0,0,3,0,2,0,5,1,1,1,0,2,6
"OTU_4105",0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"OTU_482",0,0,0,0,0,0,1,0,0,0,0,0,8,4,6,2,5,3,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,4,0,1,0,1,1,0,0,0,9,15,22,7,8,0,7,0,0,1,8,5,20,2,3,0,2,27,4,3,3,2,0,1,0
"OTU_13756",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_7092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_1",57,60,96,47,33,19,23,48,21,22,29,26,25,51,36,37,36,50,49,30,37,9,13,45,26,91,7,20,25,19,118,413,618,891,1235,198,2132,214,1886,22,18,24,3,6,6,5,4,0,7,1,5,2,1,5,2,3,4,6,4,4,8,34,51,7,7,5,2,13,17,8,12,3,4,10,9,6,2,4,9,4,0,3,41,10,13,8,8,2,10,4
"OTU_2268",0,1,0,0,3,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,2,0,2,0,0,7,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,6,3,0,1,0,1,0,0,0,0,12,18,2,0,0,0,1,1,1,2,0,0,0,0,0,1,2,0,10,0,9,0,2,0,5,0,0,2,0,0,3,1
