"","name","degree","betweenness","Abundance","module","z","p","taxa_roles","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_4522","OTU_4522",1,0,0.0149463152757443,"M21",NA,NA,NA,"k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__","s__"
"OTU_7686","OTU_7686",7,0,0.0183016105417277,"M1",-0.474187367216771,0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__OM1 clade","g__","s__"
"OTU_6200","OTU_6200",1,0,0.0248596876525134,"M4",-0.704399932401065,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 6","f__","g__","s__"
"OTU_659","OTU_659",16,226,0.0574975597852611,"M2",-0.373442140231315,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingopyxis","s__"
"OTU_1971","OTU_1971",1,0,0.0372132747681796,"M9",-0.577350269189626,0.244897959183674,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Acidimicrobiaceae","g__Illumatobacter","s__"
"OTU_1812","OTU_1812",3,16,0.03584065397755,"M3",-0.33920680312671,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfuromonadales","f__","g__","s__"
"OTU_154","OTU_154",44,530,0.235480722303563,"M2",1.49007111399228,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__","s__"
"OTU_172","OTU_172",34,8415,0.278642020497804,"M2",0.824530666055281,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__"
"OTU_1833","OTU_1833",24,2832,0.033400439238653,"M1",1.09872682647788,0,"Peripheral nodes","k__Bacteria","p__Planctomycetes","c__OM190","o__","f__","g__","s__"
"OTU_847","OTU_847",35,406,0.0608528550512445,"M2",0.89108471084898,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Rhodospirillaceae","g__Magnetospirillum","s__"
"OTU_2240","OTU_2240",1,0,0.0152513421181064,"M4",-0.704399932401065,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 3","f__","g__Candidatus Solibacter","s__"
"OTU_1196","OTU_1196",15,863,0.161816739873109,"M1",0.266007547463067,0.5,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__"
"OTU_7984","OTU_7984",2,0,0.0176915568570034,"M1",-0.936809188891669,0,"Peripheral nodes","k__Bacteria","p__Planctomycetes","c__OM190","o__","f__","g__","s__"
"OTU_3659","OTU_3659",1,0,0.0468216203025866,"M9",-0.577350269189626,0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Frankiales","f__","g__","s__"
"OTU_2784","OTU_2784",8,969,0.0274524158125915,"M3",0.584649124088314,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Thioclava","s__"
"OTU_1854","OTU_1854",2,2,0.054752318204002,"M3",-0.523977988569715,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__","s__"
"OTU_2274","OTU_2274",1,0,0.0163189360663738,"M4",-0.704399932401065,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Gitt-GS-136","o__","f__","g__","s__"
"OTU_3194","OTU_3194",12,207,0.0823572474377745,"M1",-0.0115655455418725,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__"
"OTU_1471","OTU_1471",1,0,0.0391959492435334,"M24",NA,NA,NA,"k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__","s__"
"OTU_426","OTU_426",9,642,0.0851024890190337,"M3",0.769420309531319,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 4","f__","g__Blastocatella","s__"
"OTU_7396","OTU_7396",2,0,0.0289775500244021,"M1",-0.936809188891669,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__KI89A clade","f__","g__","s__"
"OTU_7389","OTU_7389",8,14,0.0140312347486579,"M1",-0.381663002881791,0,"Peripheral nodes","k__Bacteria","p__Deinococcus-Thermus","c__Deinococci","o__Deinococcales","f__Trueperaceae","g__Truepera","s__"
"OTU_1830","OTU_1830",8,78,0.0817471937530503,"M1",-0.381663002881791,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Holophagae","o__Subgroup 23","f__","g__","s__"
"OTU_1243","OTU_1243",25,183,0.0253172279160566,"M2",0.225544262911983,0.48,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Cytophagaceae","g__Arcicella","s__"
"OTU_438","OTU_438",1,0,0.101268911664226,"M2",-1.37175281213681,0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidetes BD2-2","o__","f__","g__","s__"
"OTU_3268","OTU_3268",17,201,0.0448389458272328,"M1",0.451056276133026,0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Flammeovirgaceae","g__","s__"
"OTU_7548","OTU_7548",2,78,0.0141837481698389,"M1",-0.936809188891669,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Nitrospinaceae","g__","s__"
"OTU_12238","OTU_12238",2,6,0.0233345534407028,"M4",-0.295393520039156,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 2","f__","g__","s__"
"OTU_3098","OTU_3098",8,0,0.0242496339677892,"M1",-0.381663002881791,0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Saprospiraceae","g__","s__"
"OTU_4516","OTU_4516",1,0,0.0173865300146413,"M21",NA,NA,NA,"k__Bacteria","p__Chloroflexi","c__Chloroflexia","o__Chloroflexales","f__","g__","s__"
"OTU_4036","OTU_4036",1,0,0.0202842850170815,"M4",-0.704399932401065,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__"
"OTU_3132","OTU_3132",29,852,0.0160139092240117,"M1",1.56134864815278,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 21","f__","g__","s__"
"OTU_3105","OTU_3105",9,162,0.0225719863347975,"M1",-0.289138638546812,0.48,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__"
"OTU_8057","OTU_8057",1,0,0.0462115666178624,"M1",-1.02933355322665,0.46875,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__JTB255 marine benthic group","g__","s__"
"OTU_530","OTU_530",9,1723,0.137414592484139,"M1",-0.289138638546812,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__JTB255 marine benthic group","g__","s__"
"OTU_702","OTU_702",1,0,0.0321803318692045,"M6",-0.999119330520493,0.489795918367347,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__Anaerolinea","s__"
"OTU_7899","OTU_7899",1,0,0.0478892142508541,"M1",-1.02933355322665,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobulbaceae","g__Desulfobulbus","s__"
"OTU_178","OTU_178",25,2475,0.146870424597365,"M2",0.225544262911983,0.444444444444444,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Pedobacter","s__"
"OTU_2775","OTU_2775",1,0,0.0263848218643241,"M20",NA,NA,NA,"k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Chromatiales","f__Ectothiorhodospiraceae","g__","s__"
"OTU_11045","OTU_11045",3,11,0.0204367984382626,"M4",0.113612892322752,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","g__Candidatus Koribacter","s__"
"OTU_1839","OTU_1839",2,5,0.0173865300146413,"M1",-0.936809188891669,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__"
"OTU_1850","OTU_1850",40,1371,0.0230295265983407,"M1",2.57911665583756,0,"Module hubs","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Methylophilales","f__Methylophilaceae","g__Methylotenera","s__"
"OTU_626","OTU_626",5,0,0.0517020497803807,"M2",-1.10553663296201,0.32,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flavobacterium","s__"
"OTU_1901","OTU_1901",29,29,0.0247071742313324,"M2",0.491760442086782,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__GKS98 freshwater group","s__"
"OTU_3712","OTU_3712",15,1325,0.0161664226451928,"M3",1.87804742218935,0,"Peripheral nodes","k__Bacteria","p__SHA-109","c__","o__","f__","g__","s__"
"OTU_1858","OTU_1858",11,781,0.0361456808199122,"M3",1.13896268041733,0.417355371900826,"Peripheral nodes","k__Bacteria","p__Planctomycetes","c__Planctomycetacia","o__Planctomycetales","f__Planctomycetaceae","g__Rubripirellula","s__"
"OTU_4","OTU_4",2,525,0.0646656905807711,"M2",-1.30519876734311,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Epsilonproteobacteria","o__Campylobacterales","f__Helicobacteraceae","g__Sulfurovum","s__"
"OTU_943","OTU_943",4,1327,0.0462115666178624,"M6",1.66519888420082,0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__WCHB1-69","g__","s__"
"OTU_2358","OTU_2358",1,0,0.0244021473889702,"M3",-0.70874917401272,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__"
"OTU_1842","OTU_1842",2,6,0.0192166910688141,"M5",-0.396086428964741,0.517777777777778,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__","s__"
"OTU_3295","OTU_3295",1,0,0.0172340165934602,"M1",-1.02933355322665,0.197530864197531,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Order II","f__Rhodothermaceae","g__","s__"
"OTU_7615","OTU_7615",1,0,0.019064177647633,"M1",-1.02933355322665,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Ensifer","s__"
"OTU_1168","OTU_1168",1,0,0.0437713518789654,"M1",-1.02933355322665,0.124444444444444,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Cellvibrionales","f__Halieaceae","g__","s__"
"OTU_8256","OTU_8256",1,0,0.0245546608101513,"M3",-0.70874917401272,0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Muriicola","s__"
"OTU_10525","OTU_10525",2,27,0.0141837481698389,"M3",-0.523977988569715,0.571428571428571,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__","s__"
"OTU_874","OTU_874",34,25,0.0462115666178624,"M2",0.824530666055281,0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Frankiales","f__Sporichthyaceae","g__hgcI clade","s__"
"OTU_7403","OTU_7403",4,0,0.0170815031722792,"M2",-1.17209067775571,0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Saccharopolyspora","s__"
"OTU_1891","OTU_1891",35,20,0.0399585163494387,"M2",0.89108471084898,0.0768,"Peripheral nodes","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__"
"OTU_1869","OTU_1869",3,2,0.0227244997559785,"M3",-0.33920680312671,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 3","f__PAUC26f","g__","s__"
"OTU_3321","OTU_3321",5,741,0.0420937042459736,"M3",0.0303355677592993,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 17","f__","g__","s__"
"OTU_7541","OTU_7541",8,230,0.0158613958028306,"M3",0.584649124088314,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 18","f__","g__","s__"
"OTU_3727","OTU_3727",1,0,0.0341630063445583,"M6",-0.999119330520493,0.231111111111111,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidetes vadinHA17","o__","f__","g__","s__"
"OTU_8122","OTU_8122",2,20,0.0152513421181064,"M1",-0.936809188891669,0.290123456790123,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__OM1 clade","g__","s__"
"OTU_3698","OTU_3698",1,0,0.0161664226451928,"M11",-0.577350269189626,0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__OPB41","o__","f__","g__","s__"
"OTU_3101","OTU_3101",1,0,0.0362981942410932,"M3",-0.70874917401272,0.408163265306122,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__","s__"
"OTU_851","OTU_851",9,231,0.0663433382137628,"M1",-0.289138638546812,0.0798611111111112,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Chromatiales","f__Ectothiorhodospiraceae","g__","s__"
"OTU_3319","OTU_3319",1,0,0.0158613958028306,"M5",-0.752564215033007,0,"Peripheral nodes","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__BD2-11 terrestrial group","f__","g__","s__"
"OTU_7418","OTU_7418",15,265,0.0271473889702294,"M1",0.266007547463067,0.104938271604938,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidetes BD2-2","o__","f__","g__","s__"
"OTU_3127","OTU_3127",18,2069,0.066800878477306,"M1",0.543580640468006,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Holophagae","o__Subgroup 10","f__Sva0725","g__","s__"
"OTU_3150","OTU_3150",24,527,0.0141837481698389,"M1",1.09872682647788,0,"Peripheral nodes","k__Bacteria","p__Aminicenantes","c__","o__","f__","g__","s__"
"OTU_8083","OTU_8083",18,745,0.0184541239629087,"M1",0.543580640468006,0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__OM1 clade","g__","s__"
"OTU_7609","OTU_7609",1,0,0.045296486090776,"M1",-1.02933355322665,0.04875,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__","s__"
"OTU_519","OTU_519",1,0,0.0950158613958028,"M1",-1.02933355322665,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobulbaceae","g__Desulfobulbus","s__"
"OTU_1397","OTU_1397",2,334,0.0187591508052709,"M3",-0.523977988569715,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Alteromonadales","f__Shewanellaceae","g__Shewanella","s__"
"OTU_266","OTU_266",40,700,0.0449914592484139,"M2",1.22385493481748,0,"Peripheral nodes","k__Bacteria","p__Spirochaetae","c__Spirochaetes","o__Spirochaetales","f__Spirochaetaceae","g__","s__"
"OTU_8849","OTU_8849",2,1,0.0251647144948755,"M11",1.15470053837925,0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__WCHB1-69","g__","s__"
"OTU_3151","OTU_3151",9,355,0.0158613958028306,"M1",-0.289138638546812,0.345679012345679,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Saprospiraceae","g__","s__"
"OTU_3289","OTU_3289",1,0,0.0291300634455832,"M1",-1.02933355322665,0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Sva0996 marine group","g__","s__"
"OTU_3199","OTU_3199",17,1120,0.0163189360663738,"M1",0.451056276133026,0.214532871972318,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Order II","f__Rhodothermaceae","g__","s__"
"OTU_3274","OTU_3274",2,0,0.0300451439726696,"M5",-0.396086428964741,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobulbaceae","g__Desulfobulbus","s__"
"OTU_464","OTU_464",15,4012,0.0849499755978526,"M1",0.266007547463067,0.5,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Syntrophobacterales","f__Syntrophobacteraceae","g__","s__"
"OTU_7975","OTU_7975",32,790,0.0140312347486579,"M1",1.83892174115772,0.391111111111111,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidetes BD2-2","o__","f__","g__","s__"
"OTU_12327","OTU_12327",14,597,0.0231820400195217,"M1",0.173483183128087,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__JTB255 marine benthic group","g__","s__"
"OTU_3163","OTU_3163",4,19,0.0240971205466081,"M1",-0.75176046022171,0.336734693877551,"Peripheral nodes","k__Bacteria","p__Planctomycetes","c__Planctomycetacia","o__Planctomycetales","f__Planctomycetaceae","g__Pirellula","s__"
"OTU_8001","OTU_8001",1,0,0.0353831137140068,"M5",-0.752564215033007,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Sva0071","f__","g__","s__"
"OTU_1179","OTU_1179",1,0,0.0260797950219619,"M1",-1.02933355322665,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__"
"OTU_3159","OTU_3159",34,1060,0.0314177647632992,"M1",2.02397046982768,0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__OPB41","o__","f__","g__","s__"
"OTU_6427","OTU_6427",2,334,0.0205893118594436,"M5",-0.396086428964741,0.046485260770975,"Peripheral nodes","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__PAUC43f marine benthic group","f__","g__","s__"
"OTU_7630","OTU_7630",35,1580,0.0225719863347975,"M1",2.11649483416266,0,"Peripheral nodes","k__Bacteria","p__Planctomycetes","c__Planctomycetacia","o__Planctomycetales","f__Planctomycetaceae","g__","s__"
"OTU_3097","OTU_3097",16,120,0.0314177647632992,"M1",0.358531911798046,0.160899653979239,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobacteraceae","g__Sva0081 sediment group","s__"
"OTU_7751","OTU_7751",4,139,0.0201317715959004,"M1",-0.75176046022171,0,"Peripheral nodes","k__Bacteria","p__Planctomycetes","c__Planctomycetacia","o__Planctomycetales","f__Planctomycetaceae","g__","s__"
"OTU_1885","OTU_1885",34,4192,0.0364507076622743,"M3",5.38869994560644,0.191326530612245,"Module hubs","k__Bacteria","p__Planctomycetes","c__Planctomycetacia","o__Planctomycetales","f__Planctomycetaceae","g__Rubripirellula","s__"
"OTU_1840","OTU_1840",20,371,0.0579551000488043,"M1",0.728629369137965,0.32,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 17","f__","g__","s__"
"OTU_1853","OTU_1853",7,145,0.0253172279160566,"M1",-0.474187367216771,0,"Peripheral nodes","k__Bacteria","p__Verrucomicrobia","c__OPB35 soil group","o__","f__","g__","s__"
"OTU_3099","OTU_3099",44,1949,0.0340104929233773,"M1",2.94921411317748,0.375,"Module hubs","k__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","g__Haloferula","s__"
"OTU_3166","OTU_3166",29,1219,0.0337054660810151,"M1",1.56134864815278,0.493079584775087,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Ardenticatenia","o__","f__","g__","s__"
"OTU_7360","OTU_7360",6,4,0.0337054660810151,"M1",-0.566711731551751,0.265,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__JTB255 marine benthic group","g__","s__"
"OTU_3265","OTU_3265",2,0,0.0160139092240117,"M5",-0.396086428964741,0,"Peripheral nodes","k__Bacteria","p__Nitrospirae","c__Nitrospira","o__Nitrospirales","f__Nitrospiraceae","g__","s__"
"OTU_649","OTU_649",23,1561,0.0581076134699854,"M1",1.0062024621429,0,"Peripheral nodes","k__Archaea","p__Miscellaneous Crenarchaeotic Group","c__","o__","f__","g__","s__"
"OTU_658","OTU_658",2,2,0.0498718887262079,"M1",-0.936809188891669,0.0878099173553719,"Peripheral nodes","k__Bacteria","p__Lentisphaerae","c__R76-B128","o__","f__","g__","s__"
"OTU_733","OTU_733",8,732,0.03584065397755,"M3",0.584649124088314,0.0831758034026465,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 21","f__","g__","s__"
"OTU_1832","OTU_1832",10,478,0.023944607125427,"M3",0.954191494974323,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 9","f__","g__","s__"
"OTU_863","OTU_863",40,3905,0.105539287457296,"M1",2.57911665583756,0.0665873959571938,"Module hubs","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobacteraceae","g__","s__"
"OTU_1827","OTU_1827",2,996,0.0373657881893607,"M3",-0.523977988569715,0.197530864197531,"Peripheral nodes","k__Bacteria","p__Planctomycetes","c__Planctomycetacia","o__Planctomycetales","f__Planctomycetaceae","g__Planctomyces","s__"
"OTU_353","OTU_353",13,1196,0.0919655929721816,"M1",0.0809588187931072,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__"
"OTU_427","OTU_427",22,1630,0.0657332845290386,"M1",0.913678097807924,0.5,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Sandaracinaceae","g__","s__"
"OTU_7346","OTU_7346",24,1041,0.023792093704246,"M1",1.09872682647788,0.234404536862004,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Sh765B-TzT-29","f__","g__","s__"
"OTU_651","OTU_651",8,39,0.0481942410932162,"M1",-0.381663002881791,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Syntrophobacterales","f__Syntrophobacteraceae","g__","s__"
"OTU_4531","OTU_4531",3,25,0.030960224499756,"M3",-0.33920680312671,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 17","f__","g__","s__"
"OTU_8360","OTU_8360",1,0,0.01433626159102,"M3",-0.70874917401272,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Erythrobacteraceae","g__Croceicoccus","s__"
"OTU_3266","OTU_3266",13,195,0.0144887750122011,"M1",0.0809588187931072,0.59375,"Peripheral nodes","k__Bacteria","p__Latescibacteria","c__","o__","f__","g__","s__"
"OTU_7400","OTU_7400",2,3,0.0147938018545632,"M1",-0.936809188891669,0.42,"Peripheral nodes","k__Bacteria","p__Aminicenantes","c__","o__","f__","g__","s__"
"OTU_1884","OTU_1884",9,129,0.0146412884333821,"M1",-0.289138638546812,0.0962499999999999,"Peripheral nodes","k__Bacteria","p__Planctomycetes","c__Planctomycetacia","o__Planctomycetales","f__Planctomycetaceae","g__Planctomyces","s__"
"OTU_1815","OTU_1815",13,313,0.0757991703269888,"M1",0.0809588187931072,0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Lutimonas","s__"
"OTU_1171","OTU_1171",12,33,0.0398060029282577,"M1",-0.0115655455418725,0.378698224852071,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__JTB255 marine benthic group","g__","s__"
"OTU_1845","OTU_1845",1,0,0.0314177647632992,"M1",-1.02933355322665,0.417355371900826,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Demequinaceae","g__Lysinimicrobium","s__"
"OTU_1889","OTU_1889",1,0,0.0138787213274768,"M5",-0.752564215033007,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__E01-9C-26 marine group","f__","g__","s__"
"OTU_7319","OTU_7319",6,42,0.0184541239629087,"M3",0.215106753202304,0,"Peripheral nodes","k__Bacteria","p__Planctomycetes","c__Planctomycetacia","o__Planctomycetales","f__Planctomycetaceae","g__","s__"
"OTU_1172","OTU_1172",20,474,0.0565824792581747,"M1",0.728629369137965,0.21875,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__","g__","s__"
"OTU_3100","OTU_3100",5,291,0.0318753050268424,"M3",0.0303355677592993,0,"Peripheral nodes","k__Bacteria","p__Chlorobi","c__Ignavibacteria","o__Ignavibacteriales","f__BSV26","g__","s__"
"OTU_7474","OTU_7474",20,1129,0.0227244997559785,"M1",0.728629369137965,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__Pelolinea","s__"
"OTU_7636","OTU_7636",23,617,0.0150988286969253,"M1",1.0062024621429,0.444444444444444,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__"
"OTU_7470","OTU_7470",3,0,0.0236395802830649,"M1",-0.84428482455669,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobulbaceae","g__Desulfopila","s__"
"OTU_1838","OTU_1838",14,690,0.0422462176671547,"M1",0.173483183128087,0.142011834319527,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Sva0485","f__","g__","s__"
"OTU_1718","OTU_1718",3,6,0.0439238653001464,"M1",-0.84428482455669,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Chromatiales","f__Ectothiorhodospiraceae","g__","s__"
