"","name","degree","betweenness","Abundance","module","z","p","taxa_roles","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_507","OTU_507",1,0,0.0515495363591996,"M1",-1.02933355322665,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__"
"OTU_1821","OTU_1821",9,15,0.0521595900439239,"M1",-0.289138638546812,0.197530864197531,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Holophagae","o__Subgroup 7","f__","g__","s__"
"OTU_280","OTU_280",3,60,0.0631405563689605,"M4",0.113612892322752,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","g__","s__"
"OTU_3651","OTU_3651",9,71,0.0376708150317228,"M2",-0.839320453787214,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Brevundimonas","s__"
"OTU_2690","OTU_2690",1,0,0.0179965836993655,"M4",-0.704399932401065,0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__","g__","s__"
"OTU_984","OTU_984",1,0,0.0443814055636896,"M4",-0.704399932401065,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__"
"OTU_10337","OTU_10337",2,2,0.0230295265983407,"M4",-0.295393520039156,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__"
"OTU_1824","OTU_1824",2,0,0.0367557345046364,"M1",-0.936809188891669,0,"Peripheral nodes","k__Bacteria","p__Planctomycetes","c__OM190","o__","f__","g__","s__"
"OTU_3545","OTU_3545",12,297,0.0160139092240117,"M4",3.79467060357993,0,"Module hubs","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__","s__"
"OTU_3970","OTU_3970",1,0,0.0449914592484139,"M25",NA,NA,NA,"k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 4","f__RB41","g__","s__"
"OTU_1859","OTU_1859",2,666,0.05017691556857,"M3",-0.523977988569715,0.120707596253902,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidetes BD2-2","o__","f__","g__","s__"
"OTU_2048","OTU_2048",1,0,0.0169289897510981,"M13",-1.15470053837925,0.5,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Acidimicrobiaceae","g__CL500-29 marine group","s__"
"OTU_571","OTU_571",3,334,0.02150439238653,"M1",-0.84428482455669,0.53125,"Peripheral nodes","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__BD2-11 terrestrial group","f__","g__","s__"
"OTU_177","OTU_177",2,334,0.10889458272328,"M16",0.707106781186547,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__Anaerolinea","s__"
"OTU_801","OTU_801",2,666,0.0581076134699854,"M13",0.577350269189626,0.0399833402748855,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 6","f__","g__","s__"
"OTU_2993","OTU_2993",2,12,0.0539897510980966,"M1",-0.936809188891669,0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidetes BD2-2","o__","f__","g__","s__"
"OTU_7127","OTU_7127",1,0,0.0146412884333821,"M1",-1.02933355322665,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Sva0485","f__","g__","s__"
"OTU_425","OTU_425",3,352,0.138329673011225,"M3",-0.33920680312671,0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Flammeovirgaceae","g__","s__"
"OTU_1368","OTU_1368",3,36,0.0248596876525134,"M4",0.113612892322752,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","g__","s__"
"OTU_525","OTU_525",31,389,0.155106149341142,"M2",0.624868531674181,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__","s__"
"OTU_1194","OTU_1194",1,0,0.130856515373353,"M3",-0.70874917401272,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Epsilonproteobacteria","o__Campylobacterales","f__Helicobacteraceae","g__Sulfurovum","s__"
"OTU_7557","OTU_7557",7,745,0.0431612981942411,"M3",0.399877938645309,0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidetes BD2-2","o__","f__","g__","s__"
