,M2,M8,M14,M6,M4,M3,M12,M1,M7,M10,M9,M11,M13,M5
S162,1.953135987,1.439936684,0.959526967,-1.179940037,-0.863932572,3.450808757,-0.562632107,-7.182310311,1.276626385,-1.113719598,-1.307343384,0.343478952,0.422356034,0.60330289
S164,1.956183705,1.412654306,-2.964720446,-1.381965958,-0.791522568,4.736440943,-0.620712437,-5.769121691,1.761512146,-1.169111825,-1.537388033,0.598288312,0.34737809,-0.170253064
S165,2.051449236,1.30478285,0.802221777,-1.059080701,-0.86931142,5.728122375,0.220245683,-4.13173844,1.413594433,-1.441871153,-1.245124727,0.598288312,0.484575556,-0.333210796
S166,2.046843299,1.49092083,-0.091424692,-1.269344032,-0.856506739,8.919190385,-0.78890406,-6.500173924,1.624381215,-1.503830061,-1.393705417,0.598288312,0.571603185,-0.240850789
S167,2.053283753,1.557089715,0.430177797,-1.387524003,-0.836975601,-0.554858214,-0.844967935,-0.066376243,1.595363098,-0.249854333,-0.78327597,0.343478952,0.181141759,-0.379286593
S168,1.945847159,1.631100689,0.636169475,-1.179930736,-0.845602788,-0.353850445,-0.728779967,-1.150119079,1.709079203,-1.105488708,-0.973439077,0.216074273,0.009301679,-0.250433862
S169,2.096402389,1.296885837,0.380725308,-1.15451904,-0.807868311,-0.120983361,-0.612619308,-0.291360289,1.253919703,-0.839296061,-1.149024483,0.598288312,0.227125321,-0.242700573
S170,1.979943141,1.534248963,0.864702832,-1.257610134,-0.846551476,5.367151481,-0.844967935,-10.76820412,1.980611266,-1.379912245,-1.492604296,0.598288312,0.37072424,9.682196838
S171,2.050266306,1.486858468,0.771389363,-1.218586854,-0.876417473,6.20688319,-0.564648562,-10.28824884,1.956010353,-1.379912245,-1.367473151,0.598288312,0.571603185,7.042911073
S172,2.06403573,1.581926245,0.693825023,-1.330519612,-0.877924487,7.561276762,-0.786887606,-8.449281401,2.014163082,-1.019949132,-1.228168055,0.598288312,0.571603185,4.694619612
S173,2.011731569,1.271381192,0.34673729,-1.269304234,-0.838797213,4.544938991,-0.90103181,-11.36805026,1.928845705,-1.391702579,-0.960478174,0.598288312,0.473987828,4.468432871
S174,2.069250542,1.506784417,0.59765309,-0.963811008,-0.874663658,16.74920244,-0.674759856,-12.0726243,2.076080901,-1.329743671,-1.257284915,0.470883632,0.51997139,3.423306484
S175,2.099848546,1.487527263,1.021786075,-1.119096436,-0.876441641,6.472865809,-0.676776311,-11.35764631,2.036404158,-1.317953338,-1.379076461,0.598288312,0.466877639,2.458735627
S176,2.124312649,1.290764441,1.099572363,-1.387067092,-0.85877682,-0.182570139,-0.892911372,-3.979708492,2.09835405,-1.435304471,-1.336855409,0.598288312,0.473987828,-0.292337849
S177,2.008018082,1.340489978,-0.82640569,-1.213762128,-0.794003492,0.254851573,-0.618695982,-4.772299736,2.03390601,-1.329743671,-1.281853592,0.598288312,0.468339596,-0.103358546
S179,1.990126691,1.515112132,0.88452395,-1.309148606,-0.818603165,-1.885287286,-0.452520813,1.105040514,1.39297198,-1.237637414,-1.113261883,0.088669593,0.140097693,-0.305386881
S182,1.969530404,1.405596047,0.511119689,-1.35248884,-0.839938873,-1.897263061,-0.840907716,1.050902006,1.711996775,-1.423514138,-1.08076088,0.598288312,0.301394528,-0.417897481
